AgeMa,CO2lower1s,CO2mean,CO2upper1s
32,533.3467239,649.076385,827.8748177
32.4,577.4840215,685.8077739,836.3359304
32.8,577.2618955,686.809079,835.1110522
33.2,562.2532949,675.9003562,830.6575104
33.6,550.6952978,672.9857062,837.7369665
34,549.4891107,694.0532748,879.4154163
34.4,548.2829237,715.1208434,921.0938661
34.8,566.2541174,731.2104983,943.5701382
35.2,590.6177715,745.6408488,959.6456843
35.6,628.0677858,774.2157442,989.769928
36,704.7768809,845.2242745,1062.040264
36.4,781.485976,916.2328049,1134.3106
36.8,832.6650544,951.0132393,1173.311158
37.2,875.3341273,973.7176417,1201.22179
37.6,884.0901643,974.2664456,1212.411882
38,791.1070934,908.348454,1173.440356
38.4,698.1240226,842.4304624,1134.46883
38.8,605.1409517,776.5124708,1095.497305
39.2,542.8344747,719.4981275,1030.710388
39.6,511.2045914,671.3874325,940.1080793
40,479.5747081,623.2767375,849.5057709
40.4,447.9448249,575.1660425,758.9034626
40.8,416.3149416,527.0553475,668.3011542
41.2,398.95,495.1,607.4
41.6,395.85,479.3,576.2
42,392.75,463.5,545
42.4,389.65,447.7,513.8
42.8,386.55,431.9,482.6
43.2,406.8333333,470.15,550.05
43.6,450.5,562.45,716.15
44,494.1666667,654.75,882.25
44.4,537.8333333,747.05,1048.35
44.8,581.5,839.35,1214.45
45.2,649.25,936.625,1366.875
45.6,741.0833333,1038.875,1505.625
46,832.9166667,1141.125,1644.375
46.4,924.75,1243.375,1783.125
46.8,1016.583333,1345.625,1921.875
47.2,1007,1321.825,1871.425
47.6,896,1171.975,1631.775
48,785,1022.125,1392.125
48.4,674,872.275,1152.475
48.8,563,722.425,912.825
49.2,530.3474444,668.1738889,829.3963333
49.6,576.0423333,709.5216667,902.189
50,621.7372222,750.8694444,974.9816667
50.4,667.4321111,792.2172222,1047.774333
50.8,713.127,833.565,1120.567
51.2,737.237127,861.0262698,1150.996079
51.6,739.7624921,874.6010317,1139.061571
52,742.2878571,888.1757937,1127.127063
52.4,744.8132222,901.7505556,1115.192556
52.8,747.3385873,915.3253175,1103.258048
53.2,726.062328,900.8862434,1086.632381
53.6,680.9844444,858.4333333,1065.315556
54,635.9065608,815.9804233,1043.99873
54.4,590.8286772,773.5275132,1022.681905
54.8,545.7507937,731.0746032,1001.365079
55.2,522.8783333,709.61875,989.4904167
55.6,522.2112963,709.1599537,987.0579167
56,521.5442593,708.7011574,984.6254167
56.4,520.8772222,708.2423611,982.1929167
56.8,520.2101852,707.7835648,979.7604167
57.2,508.4223333,688.6654167,947.58975
57.6,485.5136667,650.8879167,885.6809167
58,462.605,613.1104167,823.7720833
58.4,439.6963333,575.3329167,761.86325
58.8,416.7876667,537.5554167,699.9544167
59.2,394.1,498.75,650.6
59.6,371.6333333,458.9166667,613.8
60,349.1666667,419.0833333,577
60.4,326.7,379.25,540.2
60.8,304.2333333,339.4166667,503.4
61.2,288.95,317.075,478.975
61.6,280.85,312.225,466.925
