AgeMa,surfaceTemperature
48.4,26.2342911771978
48.6,26.3596067710839
48.8,26.4789547536529
49,26.5921078553264
49.2,26.6987128166378
49.4,26.798334843998
49.6,26.8903823966571
49.8,26.9741403579896
50,27.0488195944184
50.2,27.1135688111241
50.4,27.1675075223533
50.6,27.2097906512192
50.8,27.2396999865077
51,27.2567157361828
51.2,27.2605206035332
51.4,27.2510192309866
51.6,27.2284050626108
51.8,27.193140028091
52,27.1459340294668
52.2,27.0876743571261
52.4,27.019439082161
52.6,26.9424173997041
52.8,26.8578390971906
53,26.766952459796
53.2,26.6709541000078
53.4,26.5708951748826
53.6,26.4676792011703
53.8,26.3620234969049
54,26.2544064053475
54.2,26.1451300995486
54.4,26.0343077925808
54.6,25.9219361250972
54.8,25.8079377464438
55,25.6922116444457
55.2,25.5747021354983
